,Unnamed: 0.1,Unnamed: 0.1,Team,GP_T,MPG_T,FGM_T,FGA_T,FG%_T,3PM_T,3PA_T,3P%_T,FTM_T,FTA_T,FT%_T,TOV_T,PF_T,ORB_T,DRB_T,RPG_T,APG_T,SPG_T,BPG_T,PPG_T,TS%_T,eFG%_T,Total S%_T,ORB%_T,DRB%_T,TRB%_T,AST%_T,TOV%_T,STL%_T,BLK%_T,PPS_T,FIC40_T,ORtg_T,DRtg_T,eDiff_T,Poss_T,Pace_T,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Age,Player,ID
0,0,0,Philadelphia,82.0,48.4,37.7,85.3,0.442,10.1,29.8,0.34,17.0,22.0,0.771,16.6,21.9,9.8,33.0,42.8,23.8,8.4,5.1,102.4,0.539,0.501,155.3,22.4,75.3,48.8,63.1,14.9,8.5,8.4,1.2,61.7,103.2,109.0,-5.7,8137.8,98.5,8.4,17.6,0.476,6.3,12.5,0.502,2.1,5.0,0.413,4.4,6.7,0.649,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2,28.0,0.558,0.535,0.287,0.383,4.0,13.9,8.9,35.5,2.5,3.1,13.4,31.4,3.3,0.6,3.9,0.173,7.7,1.7,9.4,19,markelle-fultz,1
1,1,1,Philadelphia,82.0,48.4,37.7,85.3,0.442,10.1,29.8,0.34,17.0,22.0,0.771,16.6,21.9,9.8,33.0,42.8,23.8,8.4,5.1,102.4,0.539,0.501,155.3,22.4,75.3,48.8,63.1,14.9,8.5,8.4,1.2,61.7,103.2,109.0,-5.7,8137.8,98.5,5.3,9.5,0.551,3.0,4.1,0.732,2.2,5.4,0.412,1.8,2.7,0.673,0.9,5.1,6.0,7.6,1.8,0.8,2.5,1.8,14.6,24.7,0.673,0.668,0.566,0.286,3.2,14.3,9.3,31.4,2.8,2.1,18.6,18.1,4.8,2.0,6.8,0.214,8.1,3.9,12.0,19,lonzo-ball,0
2,26,26,L.A. Lakers,82.0,48.1,39.3,87.4,0.45,8.9,25.7,0.346,17.0,22.6,0.754,15.2,20.7,11.4,32.1,43.5,20.9,8.2,3.9,104.6,0.537,0.501,155.0,25.0,75.8,49.5,53.2,13.5,8.3,6.7,1.2,61.3,106.0,113.0,-7.0,8087.7,98.5,5.3,9.5,0.551,3.0,4.1,0.732,2.2,5.4,0.412,1.8,2.7,0.673,0.9,5.1,6.0,7.6,1.8,0.8,2.5,1.8,14.6,24.7,0.673,0.668,0.566,0.286,3.2,14.3,9.3,31.4,2.8,2.1,18.6,18.1,4.8,2.0,6.8,0.214,8.1,3.9,12.0,19,lonzo-ball,1
3,2,2,Philadelphia,82.0,48.4,37.7,85.3,0.442,10.1,29.8,0.34,17.0,22.0,0.771,16.6,21.9,9.8,33.0,42.8,23.8,8.4,5.1,102.4,0.539,0.501,155.3,22.4,75.3,48.8,63.1,14.9,8.5,8.4,1.2,61.7,103.2,109.0,-5.7,8137.8,98.5,5.7,12.6,0.452,4.3,8.6,0.504,1.4,4.0,0.342,4.1,4.8,0.849,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.0,16.8,22.0,0.566,0.507,0.321,0.381,4.8,19.7,12.6,12.4,2.3,3.2,15.0,26.2,2.3,1.8,4.1,0.169,4.6,3.2,7.9,19,jayson-tatum,0
4,27,27,L.A. Lakers,82.0,48.1,39.3,87.4,0.45,8.9,25.7,0.346,17.0,22.6,0.754,15.2,20.7,11.4,32.1,43.5,20.9,8.2,3.9,104.6,0.537,0.501,155.0,25.0,75.8,49.5,53.2,13.5,8.3,6.7,1.2,61.3,106.0,113.0,-7.0,8087.7,98.5,5.7,12.6,0.452,4.3,8.6,0.504,1.4,4.0,0.342,4.1,4.8,0.849,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.0,16.8,22.0,0.566,0.507,0.321,0.381,4.8,19.7,12.6,12.4,2.3,3.2,15.0,26.2,2.3,1.8,4.1,0.169,4.6,3.2,7.9,19,jayson-tatum,0
5,51,51,Boston,82.0,48.2,38.6,85.1,0.454,12.0,33.4,0.359,18.7,23.2,0.807,13.2,20.6,9.1,32.9,42.0,25.2,7.5,4.1,108.0,0.567,0.525,162.0,21.2,75.3,48.5,65.3,12.2,7.7,7.1,1.3,68.6,111.2,108.5,2.7,7966.2,96.8,5.7,12.6,0.452,4.3,8.6,0.504,1.4,4.0,0.342,4.1,4.8,0.849,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.0,16.8,22.0,0.566,0.507,0.321,0.381,4.8,19.7,12.6,12.4,2.3,3.2,15.0,26.2,2.3,1.8,4.1,0.169,4.6,3.2,7.9,19,jayson-tatum,1
6,3,3,Philadelphia,82.0,48.4,37.7,85.3,0.442,10.1,29.8,0.34,17.0,22.0,0.771,16.6,21.9,9.8,33.0,42.8,23.8,8.4,5.1,102.4,0.539,0.501,155.3,22.4,75.3,48.8,63.1,14.9,8.5,8.4,1.2,61.7,103.2,109.0,-5.7,8137.8,98.5,6.3,12.3,0.513,5.3,9.7,0.549,1.0,2.6,0.378,2.8,4.9,0.566,2.3,5.1,7.4,3.0,1.7,1.1,2.8,3.0,16.3,24.2,0.559,0.552,0.21,0.403,8.7,17.5,13.3,18.2,3.1,3.5,15.9,27.2,2.7,2.2,4.9,0.18,5.7,4.2,9.9,20,josh-jackson,0
7,28,28,L.A. Lakers,82.0,48.1,39.3,87.4,0.45,8.9,25.7,0.346,17.0,22.6,0.754,15.2,20.7,11.4,32.1,43.5,20.9,8.2,3.9,104.6,0.537,0.501,155.0,25.0,75.8,49.5,53.2,13.5,8.3,6.7,1.2,61.3,106.0,113.0,-7.0,8087.7,98.5,6.3,12.3,0.513,5.3,9.7,0.549,1.0,2.6,0.378,2.8,4.9,0.566,2.3,5.1,7.4,3.0,1.7,1.1,2.8,3.0,16.3,24.2,0.559,0.552,0.21,0.403,8.7,17.5,13.3,18.2,3.1,3.5,15.9,27.2,2.7,2.2,4.9,0.18,5.7,4.2,9.9,20,josh-jackson,0
8,52,52,Boston,82.0,48.2,38.6,85.1,0.454,12.0,33.4,0.359,18.7,23.2,0.807,13.2,20.6,9.1,32.9,42.0,25.2,7.5,4.1,108.0,0.567,0.525,162.0,21.2,75.3,48.5,65.3,12.2,7.7,7.1,1.3,68.6,111.2,108.5,2.7,7966.2,96.8,6.3,12.3,0.513,5.3,9.7,0.549,1.0,2.6,0.378,2.8,4.9,0.566,2.3,5.1,7.4,3.0,1.7,1.1,2.8,3.0,16.3,24.2,0.559,0.552,0.21,0.403,8.7,17.5,13.3,18.2,3.1,3.5,15.9,27.2,2.7,2.2,4.9,0.18,5.7,4.2,9.9,20,josh-jackson,0
9,75,75,Phoenix,82.0,48.4,39.9,88.5,0.45,7.5,22.6,0.332,20.4,26.3,0.776,15.4,24.8,11.9,33.1,45.0,19.6,8.2,4.9,107.7,0.538,0.493,155.8,26.0,76.4,50.5,49.1,13.3,8.1,8.1,1.2,60.3,106.6,112.2,-5.6,8284.3,100.3,6.3,12.3,0.513,5.3,9.7,0.549,1.0,2.6,0.378,2.8,4.9,0.566,2.3,5.1,7.4,3.0,1.7,1.1,2.8,3.0,16.3,24.2,0.559,0.552,0.21,0.403,8.7,17.5,13.3,18.2,3.1,3.5,15.9,27.2,2.7,2.2,4.9,0.18,5.7,4.2,9.9,20,josh-jackson,1
